Gauge,lon,lat,region_planicie,density_menor,density_normal,lat_scaled,lon_scaled,cluster
1455011,-55.46027756,-14.66611099,False,False,True,1.2502449461565528,0.6024786199092402,0
1455012,-55.84805679,-14.54166698,False,False,True,1.30342886651205,0.2872730905138519,0
1455014,-55.79999924,-14.86666679,False,False,True,1.1645329565313949,0.3263365686923925,0
1456001,-56.8488884,-14.52000046,False,False,True,1.3126885365762084,-0.5262507732209043,0
1456003,-56.81361008,-14.45083332,False,False,True,1.3422486549376915,-0.4975748652002995,0
1456004,-56.12250137,-14.65277767,False,False,True,1.2559432375323638,0.0641913923821718,0
1456005,-56.44638824,-14.40583324,False,False,True,1.3614804417525892,-0.1990793669170407,0
1456008,-56.41166687,-14.83416653,False,False,True,1.178422666766327,-0.1708561745294982,0
1457000,-57.76777649,-14.85055542,False,False,True,1.1714185094712106,-1.273167019517975,2
1457001,-57.46805573,-14.63194466,False,False,True,1.264846688526954,-1.0295396317731798,2
1457004,-57.92527771,-14.58416653,False,False,True,1.2852657369058569,-1.4011915540721327,2
1555001,-55.72888947,-15.46888924,False,False,True,0.9071597746715964,0.3841379952877112,0
1555005,-55.32305527,-15.83694458,False,False,True,0.7498631246442014,0.7140194689750832,0
1555007,-55.43694305,-15.36555576,False,False,True,0.9513216396772032,0.6214460271572602,0
1555008,-55.73888779,-15.23361111,False,False,False,1.007711125655146,0.376010881959169,0
1555010,-55.64083481,-15.21277809,False,False,True,1.0166145809234586,0.4557130399878364,0
1555011,-55.44138718,-15.09194469,False,False,True,1.0682554266490505,0.6178336254580951,0
1555012,-55.07333374,-15.05305576,False,False,True,1.0848754773516158,0.9170050880477572,0
1556000,-56.23166656,-15.35499954,False,False,True,0.9558330754926764,-0.0245433021126771,0
1556005,-56.36555481,-15.20666695,False,False,True,1.0192263127620689,-0.133374083795006,0
1556006,-56.61194611,-15.63611126,False,False,True,0.8356937186246606,-0.3336527324346398,0
1556007,-56.13360977,-15.69888878,False,False,True,0.8088643467344772,0.0551619528664582,0
1556010,-56.12833405,-15.27444458,False,False,True,0.990260032458144,0.0594503107435469,0
1557000,-57.23110962,-15.32583332,False,False,True,0.9682979094493364,-0.8369384859079678,2
1557001,-57.18249893,-15.07666683,False,False,True,1.074784760519298,-0.7974253890468386,2
1557003,-57.47499847,-15.6366663,False,False,True,0.8354565099140595,-1.0351830233420227,2
1557005,-57.8105545,-15.09333324,False,False,True,1.0676619988688816,-1.3079390347404791,2
1558000,-58.11333466,-15.24555588,False,False,True,1.002606262059504,-1.5540532493239154,2
1558001,-57.89444351,-15.46722221,False,False,True,0.9078722170844552,-1.3761280396222133,2
1558004,-58.58777618,-15.43999958,False,False,True,0.9195064145503448,-1.9397020384010213,2
1558005,-58.46472168,-15.85333347,False,False,True,0.7428589673490852,-1.83967744756106,2
1654000,-54.65638733,-16.47055626,False,False,True,0.4790750559743404,1.2559190982013106,3
1654001,-54.26388931,-16.67333412,False,False,True,0.3924134194994447,1.5749602860976846,3
1654004,-54.40722275,-16.84222221,False,False,True,0.3202353313170399,1.458452001640928,3
1654005,-54.15222168,-16.39111137,False,False,True,0.5130275997923285,1.6657290836696443,3
1656002,-56.54499817,-16.32027817,False,False,True,0.5432997460155576,-0.2792342405787705,0
1657003,-57.68333435,-16.06666756,False,False,True,0.6516858907849947,-1.204528404082126,2
1657004,-57.25638962,-16.0363884,False,False,True,0.6646263644475786,-0.8574872806000303,2
1658000,-58.33889008,-16.39444351,False,False,True,0.5116035355213906,-1.737395496842172,2
1659001,-59.49000168,-16.27000046,False,True,False,0.5647870455994988,-2.6730741335529955,2
1754000,-54.13888931,-17.20722198,False,False,True,0.1642445472089503,1.6765662725101689,3
1754002,-54.75666809,-17.58694458,False,False,True,0.001961633667491,1.1744060938973646,3
1755000,-55.23222351,-17.49166679,False,False,True,0.042680720066329,0.7878518735541397,3
1853002,-54.2780571,-18.19833374,False,False,True,-0.2593291459502216,1.5634440278718094,3
1853005,-53.64138794,-18.67361069,False,False,True,-0.4624493399684298,2.080959212033469,3
1854001,-54.56027603,-18.11638832,False,False,True,-0.2243079449235284,1.3340429657364037,3
1854002,-54.83222198,-18.90999985,False,False,True,-0.5634755143768474,1.1129922737313604,3
1854003,-54.35722351,-18.64916611,False,False,True,-0.4520024040665441,1.4990937784415288,3
1854004,-54.79999924,-18.43333244,False,False,True,-0.3597610762974159,1.1391844599922658,3
1854006,-54.5988884,-18.72416687,False,False,True,-0.484055649911337,1.3026569822038108,3
1857001,-57.48860931,-18.03861046,False,False,True,-0.1910678435183992,-1.0462465659348414,2
1954003,-54.98333359,-19.43944359,False,False,True,-0.7897450929678684,0.9901615201919308,3
1954004,-54.03555679,-19.5336113,False,False,True,-0.8299897619455044,1.7605598934948723,3
1954006,-54.17277908,-19.30249977,False,False,True,-0.7312191003061281,1.6490190444290354,3
1957005,-57.5933342,-19.30527687,False,False,True,-0.7324059558664658,-1.1313719719379525,1
2054005,-54.8116684,-20.49361038,False,False,True,-1.2402667580988014,1.129699207893022,3
2054009,-54.87166595,-20.49500084,False,False,True,-1.240861002160026,1.0809303258923644,3
2054019,-54.43361282,-20.1016674,False,False,True,-1.072761192887456,1.4370008888901735,3
2054021,-54.97888947,-20.95194435,False,False,True,-1.4361459921149593,0.9937739137626164,3
2055001,-55.39277649,-20.12694359,False,False,True,-1.083563535851576,0.6573467223192243,3
2055002,-55.42750168,-20.44805527,False,False,True,-1.220797766847026,0.62912042485274,3
2055003,-55.44472122,-20.29138947,False,False,True,-1.1538431466155623,0.6151235580745869,3
2056001,-56.36833191,-20.24138832,False,False,True,-1.132474041109534,-0.1356314436739373,1
2056003,-56.09111023,-20.76194382,False,False,True,-1.3549450323016066,0.089707614336674,1
2056007,-56.98389053,-20.92666626,False,False,True,-1.4253428371435055,-0.6359869699123929,1
2057001,-57.32138824,-20.04972267,False,False,True,-1.0505614551643805,-0.91032127180443,1
2155001,-55.82416534,-21.14944458,False,False,True,-1.5205521158208122,0.3066932052664489,1
2156000,-56.51694489,-21.11527824,False,False,True,-1.5059503691766871,-0.2564311910867242,1
2156001,-56.09000015,-21.4402771,False,False,True,-1.6448458731536766,0.0906099405238454,1
2157003,-57.03833389,-21.19000053,False,False,True,-1.5378846046625123,-0.6802411402836732,1
2157005,-57.35777664,-21.68833351,False,False,True,-1.7508583068024368,-0.939899506012206,1
2256001,-56.52639008,-22.10888863,False,False,True,-1.9305919075372304,-0.2641086938611516,1
2257000,-57.02916718,-22.0308342,False,False,True,-1.8972336077804672,-0.6727899993900196,1
2257001,-57.30389023,-22.22361183,False,False,True,-1.979621423154156,-0.8960980512739882,1
